,country,year,ppl_acc,ppl_no_acc,gdp_capita,e_non_ebt,e_ebt,e_co2_em
0,Algeria,1990,25464440,447927,8312,314.57453580000004,0.35526315799999997,34633483.628106095
1,Algeria,1991,26123557,430772,7692,311.2286861,0.7710526320000001,34670897.82206489
2,Algeria,1992,26768936,412158,7893,319.63844559999995,0.5236842110000001,34982806.83037804
3,Algeria,1993,27393494,392765,7171,296.9511667,0.928947368,36547369.32502616
4,Algeria,1994,27988776,373477,6966,301.43024579999997,0.436842105,39365559.572656095
5,Algeria,1995,28548981,355317,7079,312.57413280000003,0.507894737,44400461.17597696
6,Algeria,1996,29072010,339405,7215,309.52553972,0.35526315799999997,45359675.76048448
7,Algeria,1997,29559879,326960,6897,297.63797944,0.19736842100000002,43066995.60288718
8,Algeria,1998,30016493,319239,7114,307.7132381,0.565789474,51484271.51140395
9,Algeria,1999,30448075,317538,7359,310.83390583,0.534210526,44095711.78084132
10,Algeria,2000,30860958,322702,8255,299.78596719999996,0.142105263,41481591.4117573
11,Algeria,2001,31258547,333606,8153,310.6102589,0.181578947,40148230.73895695
12,Algeria,2002,31646472,348574,8462,321.7841547,0.15,42360912.39550614
13,Algeria,2003,32037605,365909,9071,336.1535856,0.697368421,41146293.09572608
14,Algeria,2004,32447231,383865,9516,349.0545078,0.660526316,38015780.13670523
15,Algeria,2005,32887859,400578,10795,364.6814799,1.4613157890000001,44802598.60616263
16,Algeria,2006,33363938,413977,11585,378.6008808,0.572631579,42485888.24204594
17,Algeria,2007,33878234,421842,11751,399.000721,0.594736842,43372764.758841485
18,Algeria,2008,34616690,244025,12270,422.76168140000004,0.744736842,43649862.55010209
19,Algeria,2009,35049986,415774,11172,447.90423439999995,0.9,46668931.02534163
20,Algeria,2010,35714915,402722,12510,436.92640500000005,0.4792105259999999,44680038.23864532
21,Algeria,2011,36435640,383918,13204,463.3955281,1.042417763,46568752.95617978
22,Algeria,2012,37101781,464066,13242,506.5319778,1.094007931,51072657.83659341
23,Algeria,2013,38006928,331634,12998,536.62905,0.33578947400000003,50889879.01384779
24,Algeria,2014,38813840,299473,12782,584.9251728,0.668421053,55591317.01853332
25,Argentina,1990,29666505,3063234,11878,462.18408159,47.39451759,38617705.884497635
26,Argentina,1991,30247517,2946401,13006,472.62549808,42.891920006999996,42617865.37051789
27,Argentina,1992,30830144,2825007,14222,502.11146673999997,52.318200001,42821997.46388883
28,Argentina,1993,31411142,2699775,14993,509.50922662000005,62.270824079,37311337.41594841
29,Argentina,1994,31986463,2571652,15748,507.81358919,73.92652083200001,34479251.70835388
30,Argentina,1995,32553037,2441777,15192,530.389458514,75.19398333699999,37194913.0437695
