Entity,Year,Transport (%),Electricity and heat production (%),Manufacturing industries & construction (%),Other sectors (%),Residential buildings & commercial and public services (%)
Albania,1971,18.9119171,20.7253886,35.23316062,24.09326425,1.295336788
Albania,1972,17.52808989,18.87640449,39.1011236,22.47191011,1.797752809
Albania,1973,20.15306122,21.68367347,25.51020408,30.10204082,2.806122449
Albania,1974,20.1946472,19.9513382,26.03406326,31.14355231,2.919708029
Albania,1975,19.8156682,18.43317972,21.88940092,37.32718894,2.764976959
Albania,1976,21.36752137,17.30769231,20.94017094,37.39316239,3.205128205
Albania,1977,20.76612903,17.54032258,21.16935484,36.69354839,3.830645161
Albania,1978,19.92882562,17.08185053,23.66548043,35.9430605,3.380782918
Albania,1979,18.80597015,14.92537313,26.11940299,36.86567164,3.28358209
Albania,1980,21.73274596,13.50954479,39.35389134,21.87958884,3.671071953
Albania,1981,14.01709402,17.77777778,37.26495726,26.4957265,4.444444444
Albania,1982,13.91162029,19.14893617,35.51554828,26.67757774,4.582651391
Albania,1983,13.96396396,17.56756757,38.28828829,25.82582583,4.354354354
Albania,1984,18.28254848,16.89750693,36.28808864,25.06925208,3.462603878
Albania,1985,15.56195965,18.01152738,36.31123919,27.66570605,2.449567723
Albania,1986,14.51149425,18.10344828,35.77586207,29.16666667,2.442528736
Albania,1987,14.50276243,17.26519337,37.70718232,28.17679558,2.348066298
Albania,1988,16.0390516,17.0153417,34.30962343,29.84658298,2.649930265
Albania,1989,14.03508772,18.12865497,45.46783626,19.44444444,3.070175439
Albania,1990,12.52204586,12.87477954,37.74250441,31.39329806,5.467372134
Albania,1991,13.91076115,14.17322835,37.00787402,25.19685039,9.448818898
Albania,1992,19.1588785,19.1588785,35.51401869,13.55140187,13.08411215
Albania,1993,25.75757576,27.27272727,27.27272727,11.11111111,8.585858586
Albania,1994,31.03448276,30.04926108,22.66009852,8.374384236,7.881773399
Albania,1995,34.05405405,21.62162162,26.48648649,4.324324324,13.51351351
Albania,1996,33.33333333,17.74193548,24.7311828,5.913978495,18.27956989
Albania,1997,34.26573427,22.37762238,16.78321678,3.496503497,23.07692308
Albania,1998,42.04545455,18.75,22.72727273,2.840909091,13.63636364
Albania,1999,47.94520548,9.931506849,16.78082192,17.46575342,8.219178082
Albania,2000,47.72727273,12.33766234,15.25974026,16.23376623,8.441558442
Albania,2001,47.82608696,10.86956522,16.77018634,16.14906832,8.695652174
Albania,2002,47.2,10.13333333,11.46666667,14.66666667,16.53333333
Albania,2003,50,9.42408377,13.08900524,15.70680628,11.51832461
Albania,2004,57.35660848,6.982543641,13.71571072,12.21945137,9.725685786
Albania,2005,62.04188482,7.853403141,11.78010471,8.90052356,9.42408377
Albania,2006,50.65963061,6.860158311,17.94195251,13.98416887,10.55408971
Albania,2007,55.55555556,8.73015873,16.93121693,11.64021164,7.407407407
Albania,2008,61.45552561,7.547169811,13.47708895,8.625336927,8.894878706
Albania,2009,61.00795756,3.713527851,20.68965517,5.039787798,9.549071618
Albania,2010,56.74300254,2.544529262,26.46310433,6.106870229,8.142493639
Albania,2011,56.52173913,2.898550725,26.8115942,6.038647343,7.487922705
Albania,2012,64.65517241,2.873563218,18.3908046,6.896551724,7.183908046
Albania,2013,67.30769231,1.373626374,15.93406593,6.593406593,8.791208791
Albania,2014,59.95145631,2.912621359,22.08737864,6.553398058,8.495145631
Algeria,1971,30.96623981,35.62281723,12.33993015,4.190919674,16.88009313
Algeria,1972,27.38589212,34.43983402,16.28630705,4.253112033,17.63485477
Algeria,1973,27.1155596,33.39399454,16.65150136,4.276615105,18.56232939
Algeria,1974,27.47068677,34.84087102,15.15912898,4.18760469,18.25795645
Algeria,1975,26.93726937,37.78597786,13.35793358,4.501845018,17.41697417
Algeria,1976,25.84692597,37.32747804,13.0489335,4.391468005,19.38519448
Algeria,1977,25.62076749,39.84198646,13.09255079,4.176072235,17.26862302
Algeria,1978,24.11710037,42.75092937,12.4070632,3.810408922,16.86802974
Algeria,1979,21.02335929,45.68038561,14.1638858,3.448275862,15.68409344
Algeria,1980,22.39451857,46.30364226,11.97259286,3.461954562,15.90335377
Algeria,1981,21.11491747,48.08470881,12.61289318,3.238866397,14.94861414
Algeria,1982,18.57666143,51.72684458,13.39612768,2.904238619,13.42229199
Algeria,1983,18.17312291,54.56719273,10.42563367,2.702056432,14.13199426
Algeria,1984,20,50.04901961,10.95588235,2.769607843,16.2254902
Algeria,1985,29.50546838,46.69519734,12.22063718,0.19020447,11.38849263
Algeria,1986,26.50169205,50,11.65397631,0.211505922,11.63282572
Algeria,1987,26.86757216,47.89898132,12.45755518,0.212224109,12.54244482
Algeria,1988,25.64102564,50.59559863,11.588936,0.20189784,11.95235211
Algeria,1989,26.10539067,50.67635776,9.610337169,0,13.64829396
Algeria,1990,30.88350274,45.13291634,11.08287725,0,12.88115715
Algeria,1991,30.85359167,43.99561323,11.36903674,0,13.78175836
Algeria,1992,30.57881325,43.79322898,11.48525664,0,14.1609028
Algeria,1993,29.92237121,44.60127029,10.9915314,0,14.52011291
Algeria,1994,28.42490842,45.6959707,10.93406593,0,14.96336996
Algeria,1995,27.31381056,46.7462039,11.31597975,0,14.62400578
Algeria,1996,27.25947522,46.86588921,10.71428571,0,15.14212828
