Entity,Year,Oil (terrawatt-hours),Coal (terrawatt-hours),Gas (terrawatt-hours),Hydropower (terrawatt-hours),Nuclear (terrawatt-hours),Solar (terrawatt-hours),Wind (terrawatt-hours),Other renewables (terawatt-hours)
Africa,1965,328.2496617,335.5804017,9.5437543,37.57580414,0,0,0,0
Africa,1966,359.1431521,331.3610134,10.6699162,41.18170773,0,0,0,0
Africa,1967,356.3664847,341.0004713,10.5456696,42.52192884,0,0,0,0
Africa,1968,376.0092079,355.3938574,10.6889698,49.00784938,0,0,0,0
Africa,1969,381.178997,357.4942115,12.4919998,56.7970969,0,0,0,0
Africa,1970,421.1258647,367.9580227,15.520325,71.25338688,0,0,0,0
Africa,1971,475.8086181,388.7173087,18.4052637,67.99106659,0,0,0,0.431578947
Africa,1972,515.5045854,392.4315632,24.67065693,78.51810109,0,0,0,0.434210526
Africa,1973,554.2804954,414.9010834,39.55179143,78.43089987,0,0,0,0.447368421
Africa,1974,572.9962675,432.1318495,44.51848738,92.33996181,0,0,0,0.460526316
Africa,1975,599.1527541,459.0673103,53.63837747,97.05012729,0,0,0,0.452631579
Africa,1976,665.1477952,481.936906,60.98138995,107.5294191,0,0,0,0.486842105
Africa,1977,703.8888533,492.9118584,68.23419091,118.6403977,0,0,0,0.497368421
Africa,1978,740.6069588,477.9242129,97.36989781,121.2765246,0,0,0,0.513157895
Africa,1979,789.4757913,504.5475597,148.842816,124.4215968,0,0,0,0.528947368
Africa,1980,835.9901191,543.8799627,186.9139772,121.1320278,0,0,0,0.544736842
Africa,1981,889.8208355,636.1899733,228.491156,127.3090696,0,0,0,0.573684211
Africa,1982,932.5234543,702.5608991,246.7335487,127.9808282,0,0,0,0.621052632
Africa,1983,964.1988264,710.0347805,271.275347,119.7603017,0,0,0,0.605263158
Africa,1984,984.7352951,762.6058884,259.9027804,118.7525272,10.32894737,0,0,0.615789474
Africa,1985,1006.9752,787.1658894,278.8427471,130.123028,13.98684211,0,0,0.707894737
Africa,1986,991.2093685,805.3560964,313.2712026,134.5841755,23.16578947,0,0,1.734210526
Africa,1987,1041.398575,828.3197323,323.3843571,129.1009598,16.22894737,0,0,1.731578947
Africa,1988,1090.048269,890.1608048,358.4445406,141.0396573,27.61315789,0,0,1.647368421
Africa,1989,1130.2879,835.6208618,371.4710411,148.0988683,29.20789474,0,0,1.623684211
Africa,1990,1146.166574,877.8098615,398.6453844,150.6701556,22.23421053,0,0,1.926315789
Africa,1991,1154.2874,853.1945685,401.635593,159.60918,24.06315789,0,0,1.942105263
Africa,1992,1180.378786,858.3007482,421.2702574,152.2639255,24.44210601,0,0,2.005921053
Africa,1993,1194.395286,871.6152064,412.6439774,149.1644928,19.0921054,0,0.005263158,2.209736842
Africa,1994,1222.16903,894.1687307,431.8279524,151.5685489,25.51842067,0,0.014210526,1.918421053
Africa,1995,1265.249589,921.8028401,461.2434977,157.2865181,29.73947219,0,0.016578947,2.401842105
Africa,1996,1297.417953,934.5518385,484.1917482,163.9906807,30.98684233,0,0.018684211,2.947613389
Africa,1997,1332.202736,958.3213992,474.4755362,168.0328883,33.28157862,0,0.018947368,3.233264232
Africa,1998,1364.144647,936.3072787,499.3369944,175.4075997,35.79210381,0,0.02,4.027761278
Africa,1999,1413.004289,965.48062,504.0196075,186.011214,33.78157862,0,0.052105263,3.916117892
Africa,2000,1421.073044,963.2739151,556.8223563,198.0153069,34.23684235,0.048421053,0.463157895,5.853745892
Africa,2001,1440.117792,975.5876621,642.6661539,212.8003018,28.2078938,0.065,1.094947368,6.029875346
Africa,2002,1465.776997,934.1009274,681.2641262,224.1617582,31.55526167,0.08105529,1.169905263,5.895789474
Africa,2003,1504.782846,1016.712642,723.7244625,218.0857933,33.32368217,0.089213184,1.424176316,6.782631579
Africa,2004,1576.41988,1118.289999,787.8942181,230.0143927,35.17137555,0.102897395,2.02451975,7.734247124
Africa,2005,1656.555252,1038.031248,817.3575881,234.383511,29.71751095,0.116318448,2.058973977,7.812849828
Africa,2006,1667.900021,1052.766009,853.0107885,242.7382974,26.38420901,0.136581606,2.243422648,9.820680599
Africa,2007,1724.102114,1070.183712,908.0614158,250.8962155,29.78157859,0.167434982,2.674466746,8.170657895
Africa,2008,1820.547476,1179.48391,947.7856736,255.6768664,34.22105174,0.223466321,3.453116135,8.506373684
Africa,2009,1885.927297,1174.427544,955.7636177,262.5293076,33.69999853,0.283868229,4.183899841,9.272953132
Africa,2010,1975.863335,1164.143081,989.1676507,282.7021911,35.59736811,0.589117763,6.010911669,9.969847537
Africa,2011,1921.906701,1144.633399,1072.083224,290.6653185,33.95263158,1.211921845,6.677568262,10.24095161
Africa,2012,2029.953157,1116.085946,1151.074206,291.9797374,34.12482607,1.456387174,7.793937475,10.66039437
Africa,2013,2098.603498,1130.637936,1165.959814,309.6653853,37.12104833,2.169166161,9.367779742,11.54375223
Africa,2014,2136.798178,1184.523054,1198.535166,325.6784073,36.29999912,4.805936537,13.57149373,14.48302548
Africa,2015,2185.227079,1136.025293,1280.550303,316.5022421,32.20263158,9.390203358,23.38705853,18.5997888
Africa,2016,2197.490882,1152.615581,1350.04639,307.0758289,41.87747105,12.92452981,29.74921099,18.88414451
Africa,2017,2234.106933,1135.391327,1407.705156,327.8372707,41.46404474,17.39624068,33.6734443,19.71532997
Africa,2018,2225.135524,1179.698413,1499.911935,349.5809719,29.18533421,23.76076052,38.64720926,21.47637602
Algeria,1965,15.40525194,0.8141,7.4305,1.03507,0,0,0,0
Algeria,1966,20.27270528,0.79084,7.71925,0.95366,0,0,0,0
Algeria,1967,18.94203111,0.60476,7.48825,1.06996,0,0,0,0
Algeria,1968,20.16730139,0.63965,7.87325,1.46538,0,0,0,0
Algeria,1969,21.30593,0.8141,10.3516875,0.95366,0,0,0,0
Algeria,1970,24.34768083,0.96529,9.730875,1.53516,0,0,0,0
Algeria,1971,27.44005028,0.26749,11.0495,0.86062,0,0,0,0
Algeria,1972,30.12141417,0.2326,12.830125,1.31419,0,0,0,0
Algeria,1973,32.900345,0.26749,17.8591875,1.98873,0,0,0,0
Algeria,1974,36.54384083,0.22097,20.6745,1.31419,0,0,0,0
Algeria,1975,40.6306675,0.27912,28.49,0.86062,0,0,0,0
Algeria,1976,46.7177325,0.54661,33.6875,1.01181,0,0,0,0
Algeria,1977,52.80649361,0.70943,35.90125,0.70943,0,0,0,0
Algeria,1978,54.60794472,0.36053,57.65375,0.67454,0,0,0,0
Algeria,1979,65.31861722,0.83736,81.52375,0.76758,0,0,0,0
Algeria,1980,66.20243,0.74432,109.43625,0.67454,0,0,0,0
Algeria,1981,71.32307278,0.52335,142.2575,0.95366,0,0,0,0
Algeria,1982,75.57341778,9.71105,161.41125,1.25604,0,0,0,0
Algeria,1983,84.89242111,8.66435,176.715,0.61639,0,0,0,0
Algeria,1984,94.00200639,9.60638,155.25125,1.19789,0,0,0,0
Algeria,1985,96.55380306,10.02506,153.8075,1.7,0,0,0,0
Algeria,1986,98.02125417,10.29255,168.4375,0.657894737,0,0,0,0
Algeria,1987,99.10052389,12.30454,172.2875,1.313157895,0,0,0,0
Algeria,1988,99.17259861,11.57185,194.13625,0.481578947,0,0,0,0
Algeria,1989,103.9366611,9.78083,182.6825,0.594736842,0,0,0,0
Algeria,1990,111.8116158,7.66417,195.09875,0.355263158,0,0,0,0
Algeria,1991,110.6277861,7.9084,192.6925,0.771052632,0,0,0,0
Algeria,1992,111.2926556,9.39704,198.94875,0.523684211,0,0,0,0
Algeria,1993,110.7548767,7.65254,178.54375,0.928947368,0,0,0,0
Algeria,1994,106.0508958,7.2106,188.16875,0.436842105,0,0,0,0
Algeria,1995,103.1422828,7.2106,202.22125,0.507894737,0,0,0,0
Algeria,1996,98.42207972,3.39596,207.7075,0.355263158,0,0,0,0
Algeria,1997,97.64341944,5.95456,194.04,0.197368421,0,0,0,0
Algeria,1998,100.6587481,6.37324,200.68125,0.565789474,0,0,0,0
Algeria,1999,98.89834583,6.82681,205.10875,0.534210526,0,0,0,0
Algeria,2000,103.1324797,5.64055,191.0129375,0.142105263,0,0,0,0
Algeria,2001,106.7753339,6.5128,197.322125,0.181578947,0,0,0,0
Algeria,2002,118.3972297,8.54805,194.838875,0.15,0,0,0,0
Algeria,2003,123.1741181,7.04778,205.9316875,0.697368421,0,0,0,0
Algeria,2004,128.7468303,8.40849,211.8991875,0.660526316,0,0,0,0
Algeria,2005,134.2133849,6.90822,223.559875,1.461315789,0,0,0,0
Algeria,2006,139.8457208,10.25766,228.4975,0.572631579,0,0,0,0
Algeria,2007,156.3899965,8.80391,233.8068145,0.594736842,0,0,0,0
Algeria,2008,169.9158964,8.80391,244.041875,0.744736842,0,0,0,0
Algeria,2009,180.1344294,5.65218,262.117625,0.9,0,0,0,0
Algeria,2010,180.048855,3.6053,253.27225,0.455263158,0,0.023947368,0,0
Algeria,2011,192.2276531,3.19825,267.969625,0.994736842,0,0.047680921,0,0
Algeria,2012,204.3952678,3.39596,298.74075,1.023684211,0,0.07032372,0,0
Algeria,2013,213.576385,1.83754,321.215125,0.260526316,0,0.075263158,0,0
Algeria,2014,221.9251528,2.08177,360.91825,0.507894737,0,0.157894737,0.002631579,0
Algeria,2015,236.1484833,1.54679,379.225,0.381578947,0,0.152631579,0.05,0
Algeria,2016,229.4410393,0.56987,385.9625,0.189473684,0,0.644736842,0.050136986,0
Algeria,2017,225.3893039,2.11666,388.85,0.147368421,0,1.326315789,0.05,0
Algeria,2018,228.1965042,2.11666,427.35,0.307894737,0,1.586842105,0.026315789,0
Argentina,1965,260.1392938,8.455049187,41.234,3.18662,0,0,0,0
Argentina,1966,268.564802,6.971818299,44.6572,3.23314,0,0,0,0
Argentina,1967,275.1866263,7.840396989,46.69945,3.30292,0,0,0,0
Argentina,1968,281.0074773,7.619035275,51.999575,3.89605,0,0,0,0
Argentina,1969,291.9817539,9.122169996,51.805075,3.489,0,0,0,0
Argentina,1970,262.1598021,11.72259838,58.5445,3.98909,0,0,0,0.125107872
Argentina,1971,279.97511,10.27754203,63.202775,4.01235,0,0,0,0.131222668
Argentina,1972,280.3572517,8.651294899,70.924425,3.90768,0,0,0,0.1693504
Argentina,1973,281.3179053,9.496521979,80.707775,7.7921,0,0,0,0.129059038
Argentina,1974,282.3039697,11.82592186,85.4244,13.08375,2.69816,0,0,0.13175703
Argentina,1975,265.9402667,11.51094029,87.525,13.51406,6.02434,0,0,0.144533267
Argentina,1976,276.2617031,11.64258521,98.51425,13.00234,6.17553,0,0,0.132112609
Argentina,1977,291.2396456,11.00850308,102.8905,15.01433,4.25658,0,0,0.141723968
Argentina,1978,291.2290322,13.41919536,100.07025,20.16642,7.53624,0,0,0.1424649
Argentina,1979,308.0486372,12.50167383,102.8905,27.72592,7.00126,0,0,0.222088851
Argentina,1980,288.2583256,11.14458963,112.12925,39.40244,6.08249,0,0,0.22697781
Argentina,1981,267.2337128,10.56046721,117.18625,38.15803,7.3269,0,0,0.196638158
Argentina,1982,256.3210303,10.66607615,133.13525,46.04317,4.89623,0,0,0.252401225
Argentina,1983,260.9379081,9.679963225,143.152,47.9156,8.86206,0,0,0.361354695
Argentina,1984,245.9877603,7.185223694,152.39075,51.70698,12.07194,0,0,0.256296821
Argentina,1985,222.503685,10.59960576,155.69725,54.35862,15.17715,0,0,0.271898985
Argentina,1986,255.5804422,12.10934933,168.2425,55.28554,15.02596,0,0,0.281786634
Argentina,1987,272.7829917,13.43967278,168.33975,57.40339,17.01469,0,0,0.284623219
Argentina,1988,272.0292644,13.77234964,196.6395,40.92045895,15.25856,0,0,0.31872644
Argentina,1989,246.7896619,14.90276818,206.559,34.14976421,13.2582,0,0,0.314149758
Argentina,1990,233.4430894,12.26613219,197.32025,47.11356158,19.15461,0,0,0.28095601
